video_id,comment_id,text,author,likes,time,reply_count,cleaned_comment
SH9Mz-Ssd7A,Ugz7J-YDY-VpGW5-kyR4AaABAg.9PG3_-7peMi9R5k9Z9dNi6,Mil jayega kon sa kaam karega🤔,@sandeepsingh5768,1,3 years ago,True,mil jayega kon sa kaam karega
SH9Mz-Ssd7A,Ugw19CMNd5-oJOd6uCt4AaABAg,If you want meadim transportation in all nagpur area contact me ...,@Aeronautical380,0,4 years ago,False,want meadim transportation nagpur area contact
SH9Mz-Ssd7A,UgwEIMatpkuAYYebTjF4AaABAg,I'm very happy to see this initiative taken by Haldiram team and the management,@mdameeruddinlashkeri2651,20,4 years ago,False,im happy see initiative taken haldiram team management
SH9Mz-Ssd7A,UgylpzKQQrm0nf6w2nF4AaABAg,Good👍👍,@prince-ik2jr,0,4 years ago,False,good
SH9Mz-Ssd7A,UgxoQC4349hSY_TscM14AaABAg,I love haldiram product,@kalpit9994,0,4 years ago,False,love haldiram product
SH9Mz-Ssd7A,UgyTsWkICq9jdEUO_Op4AaABAg,But I'm very unsatisfied Haldiram service after sell any product Haldiram not take guarantee,@princejain6700,0,4 years ago,False,im unsatisfied haldiram service sell product haldiram take guarantee
SH9Mz-Ssd7A,UgxMJvwSJc9Y4ipeOzJ4AaABAg,Job mil. Jayega. Kya,@singhisking1412-t3s,0,4 years ago,False,job mil jayega kya
SH9Mz-Ssd7A,UgydS1idzrnaBY2H8ZB4AaABAg,i want agency,@shalvidailyvlog,0,4 years ago,False,want agency
SH9Mz-Ssd7A,UgxpVj2TnDWcjqeRaVB4AaABAg,My favourite company,@abhayanayak7899,0,4 years ago,False,favourite company
SH9Mz-Ssd7A,UgwwBLwub0dSiQ5oH5J4AaABAg,best products but worst supplies,@hemanthvadde8750,0,4 years ago,False,best products worst supplies
SH9Mz-Ssd7A,UgyTRqI36yK9YpmWOpN4AaABAg,Blindly we can trust n eat,@sairamya,0,4 years ago,False,blindly trust n eat
SH9Mz-Ssd7A,Ugy4tWALik3bQVuHUYp4AaABAg,Kam payje 9689989522,@narendrakolhe7146,0,4 years ago,False,kam payje
SH9Mz-Ssd7A,UgwlJ1Byai9DvQWT5q14AaABAg,"proper factory tour video kaha milegi ??..
jisme hrr chez dikhai ho ki kaise banti hai",@Vaibhav_iuc_vlogs,0,4 years ago,False,proper factory tour video kaha milegi jisme hrr chez dikhai ho ki kaise banti hai
SH9Mz-Ssd7A,UgynjUJk_fePiOPePVJ4AaABAg,Very nice.  .haldiram is brand,@apoorva.nirwan,0,4 years ago,False,nice haldiram brand
SH9Mz-Ssd7A,Ugypq-WqoFPDqwsO6nB4AaABAg,Safety number one choice covid-19,@sohanmehra5710,0,4 years ago,False,safety number one choice covid
SH9Mz-Ssd7A,UgxOpL4rEocl2H-C6QF4AaABAg,itna sab acha hai to doughnuts ki quality mee q kmi ki hai price to vohi de rhee aaj bhi,@kalashmahajan6017,0,4 years ago,False,itna sab acha hai doughnuts ki quality mee q kmi ki hai price vohi de rhee aaj bhi
SH9Mz-Ssd7A,UgxTJ-Dj-gSguTec9Al4AaABAg,"Haldiram's very bad facilities provide to labor staff and there are lunch so bad .because I'm visiting haldiram's 👎
But haldiram's product test is world-class. 🤝",@rupalgole54,0,4 years ago,False,haldirams bad facilities provide labor staff lunch bad im visiting haldirams haldirams product test worldclass
SH9Mz-Ssd7A,Ugxysdv-OtVB_2m7ulh4AaABAg,मथुरा पेढा...आय लव हल्दीराम,@skentertainment5621,0,4 years ago,False,मथुरा पेढाआय लव हल्दीराम
SH9Mz-Ssd7A,Ugx6MCW4KQLW2BNpzwZ4AaABAg,👌 Good,@m.kalyani3890,0,4 years ago,False,good
SH9Mz-Ssd7A,Ugy7-NTkhQcD8ZPQob14AaABAg,Mixter is sooooooo good,@suryasrinivas4861,0,4 years ago,False,mixter sooooooo good
SH9Mz-Ssd7A,Ugzg6JrJsDhnKzCDn6V4AaABAg,Haldirams good product I love it,@suryasrinivas4861,0,4 years ago,False,haldirams good product love
SH9Mz-Ssd7A,Ugzwb5BboZEdy--rP5l4AaABAg,Haldiram Nagpur ke jaan Nagpur ke shaan Managing Director Sushil ji Agrawal great personality,@firdoskhan2953,0,4 years ago,False,haldiram nagpur ke jaan nagpur ke shaan managing director sushil ji agrawal great personality
SH9Mz-Ssd7A,UgxZStEeydbxXiRbU6F4AaABAg,Aap aagra ka petha bnaatey ho aagra waley sharminda ho jayengay udko dekhker usmey 1 taar ki chasni saye pethaye ko duboya ki khaney meine hi chini jyaada petha kam nazar aata hai kripya apna cook chznge kareyen jo pehta mithai bnaata hai yeah aap ki buraai nahi hakikat compaint hai,@deepaksinghlathar5081,0,4 years ago,False,aap aagra ka petha bnaatey ho aagra waley sharminda ho jayengay udko dekhker usmey taar ki chasni saye pethaye ko duboya ki khaney meine hi chini jyaada petha kam nazar aata hai kripya apna cook chznge kareyen jo pehta mithai bnaata hai yeah aap ki buraai nahi hakikat compaint hai
SH9Mz-Ssd7A,UgzCc7ZpCOrVJWX4Dx54AaABAg,Sprb kwality,@s.harshavardhan1513,0,4 years ago,False,sprb kwality
SH9Mz-Ssd7A,UgzphWWI1ezIngtuaFJ4AaABAg,Nice bro,@mohammedvakeel4056,0,4 years ago,False,nice bro
